label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,imageBucket
0,0,0,1,0,0,1,0,1,0,0
0,0,1,1,0,0,0,0,1,0,1
1,0,1,0,0,1,1,0,0,0,2
1,1,0,1,0,1,0,0,0,0,3
0,0,0,1,0,1,0,1,1,0,4
1,0,1,0,0,0,1,0,1,0,5
0,0,1,0,0,1,1,0,0,1,6
0,1,1,1,0,0,0,1,0,0,7
1,0,0,0,1,0,0,1,0,0,8
0,1,0,0,0,1,0,1,0,0,9
0,0,1,0,0,0,1,0,1,0,10
1,0,0,1,0,0,0,0,0,0,11
0,0,0,0,0,1,0,0,0,1,12
1,0,0,1,0,0,0,0,1,0,13
0,0,1,1,0,1,0,0,1,0,14
0,0,0,0,1,0,1,0,0,1,15
0,0,1,0,0,0,1,0,1,1,16
1,0,1,0,0,0,0,0,1,1,17
0,0,1,0,0,0,0,0,0,0,18
0,0,0,1,1,0,0,0,0,1,19
0,0,0,0,1,0,0,1,0,1,20
0,0,0,0,1,0,1,1,0,0,21
1,0,0,1,0,0,0,0,0,0,22
0,0,0,1,0,0,1,0,0,0,23
0,1,0,1,0,0,0,0,0,1,24
1,1,0,1,1,0,0,0,0,0,25
0,0,0,0,1,0,0,1,0,1,26
1,0,1,0,1,0,1,0,0,0,27
0,1,1,1,0,0,1,0,0,0,28
1,0,0,0,0,0,0,1,1,0,29
0,1,0,0,0,0,1,1,0,0,30
0,1,0,0,1,0,1,0,0,1,31
0,0,0,0,1,0,0,0,1,1,32
0,0,0,0,0,1,1,1,0,0,33
0,1,0,0,0,1,0,0,0,0,34
1,0,1,1,0,0,0,0,0,0,35
0,0,1,1,0,0,1,1,0,0,36
0,0,1,0,0,0,0,0,1,0,37
0,1,1,1,0,0,0,0,0,0,38
1,0,1,0,0,0,0,0,0,1,39
1,1,0,0,0,0,1,0,0,0,40
0,0,1,0,0,0,1,1,0,0,41
0,0,1,0,0,0,0,0,1,1,42
0,1,0,0,0,0,1,1,0,0,43
0,0,0,1,0,0,1,0,1,1,44
1,0,0,0,1,0,1,0,0,1,45
0,0,1,0,0,0,1,1,0,0,46
0,0,1,0,1,0,1,0,0,0,47
1,0,1,0,1,0,0,0,1,0,48
0,1,1,1,0,0,0,0,0,0,49
0,0,0,0,0,1,0,1,0,0,50
1,0,1,1,0,0,0,0,0,0,51
0,0,1,0,0,0,1,0,1,0,52
0,1,0,1,0,0,0,0,0,0,53
0,1,0,0,1,0,1,0,0,0,54
0,0,1,1,0,0,1,1,0,0,55
0,1,0,0,1,0,0,1,0,0,56
0,0,0,0,1,0,1,0,0,0,57
0,0,0,1,1,0,0,1,1,0,58
1,0,1,0,0,0,0,0,0,1,59
0,1,1,0,1,0,0,1,0,0,60
0,1,0,0,0,0,0,0,1,0,61
0,0,0,1,0,1,0,1,0,1,62
0,0,0,1,0,0,1,1,0,0,63
1,0,0,0,0,1,0,0,0,1,64
1,1,0,1,0,0,0,0,0,0,65
0,0,0,0,1,0,0,1,1,0,66
0,0,0,0,1,0,0,0,0,1,67
